"fyear","act","at","bkvlps","ceq","csho","dltt","emp","lct","ni","oibdp","rdip","sale","xad","xsga","prcc_f","busdesc","conml","gsubind","sic"
"59",2017,1729.851,3673.169,60.7755,1708.155,28.106,568.309,40,1039.701,221.324,502.801,0,6422.676,40.2,1720.157,67.56,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"60",2018,1770.532,3431.369,63.7005,1678.381,26.348,567.235,39,933.535,170.263,492.003,0,6503.349,40.4,1719.826,66.79,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"61",2019,1848.082,3430.257,67.0851,1623.259,24.197,599.087,38,930.82,111.081,389.841,0,6343.211,39.2,1717.392,60.72,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States.","Dillard's Inc.",25503010,5311
"62",2010,2367.825,9546.222,11.8723,4054.479,341.507,3287.07,85.9,1365.373,627.857,1517.165,0,13035,46.9,2902.491,27.81,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"63",2011,2275.074,9688.52,13.8085,4668.495,338.089,2617.891,90,1509.902,766.685,1768.604,0,14807.188,50.4,3194.006,42.61,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"64",2012,2677.113,10367.682,15.2424,4985.33,327.069,2771.336,90.5,1738.547,952.662,1949.376,0,16022.128,61.7,3430.125,46.22,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"65",2013,3205.607,10867.524,17.0385,5402.193,317.058,2742.788,100.6,1811.971,1025.116,2071.885,0,17504.167,70.5,3691.057,56.32,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"66",2014,3532.609,11224.104,18.8172,5710.038,303.447,2639.427,105.5,1987.74,1065.345,2125.093,0,18909.588,77.3,4019.114,67.06,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"67",2015,3432.41,11257.885,18.7582,5377.876,286.694,2969.175,113.4,1995.596,1165.08,2297.894,0,20368.562,89.3,4359.697,75.06,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"68",2016,3677.771,11672.298,19.6441,5406.294,275.212,2710.576,121,2622.805,1251.133,2442.049,0,21986.598,82.7,4719.189,73.82,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
